Loja,Data,Ano,NF,Produto,Unidades
A,03/06/2020,2020,A0155,P101,7
A,04/06/2020,2020,A0156,P100,10
A,05/06/2020,2020,A0157,P103,4
A,06/06/2020,2020,A0158,P106,3
A,07/06/2020,2020,A0159,P103,4
A,08/06/2020,2020,A0160,P105,6
A,09/06/2020,2020,A0161,P101,4
A,10/06/2020,2020,A0162,P106,2
A,11/06/2020,2020,A0163,P107,10
A,12/06/2020,2020,A0164,P107,5
A,13/06/2020,2020,A0165,P105,3
A,14/06/2020,2020,A0166,P102,9
A,15/06/2020,2020,A0167,P104,3
A,16/06/2020,2020,A0168,P102,8
A,17/06/2020,2020,A0169,P103,9
A,18/06/2020,2020,A0170,P105,8
A,19/06/2020,2020,A0171,P102,7
A,20/06/2020,2020,A0172,P102,8
A,21/06/2020,2020,A0173,P102,3
A,22/06/2020,2020,A0174,P103,6
A,23/06/2020,2020,A0175,P104,5
A,24/06/2020,2020,A0176,P105,7
A,25/06/2020,2020,A0177,P101,8
A,26/06/2020,2020,A0178,P101,4
A,27/06/2020,2020,A0179,P103,8
A,28/06/2020,2020,A0180,P105,9
A,29/06/2020,2020,A0181,P106,8
A,30/06/2020,2020,A0182,P102,5
A,01/07/2020,2020,A0183,P106,9
A,02/07/2020,2020,A0184,P104,9
A,03/07/2020,2020,A0185,P101,4
A,04/07/2020,2020,A0186,P100,8
A,05/07/2020,2020,A0187,P105,9
A,06/07/2020,2020,A0188,P107,4
A,07/07/2020,2020,A0189,P102,2
A,08/07/2020,2020,A0190,P102,1
A,09/07/2020,2020,A0191,P102,8
A,10/07/2020,2020,A0192,P105,2
A,11/07/2020,2020,A0193,P106,8
A,12/07/2020,2020,A0194,P106,10
A,13/07/2020,2020,A0195,P102,2
A,14/07/2020,2020,A0196,P106,7
A,15/07/2020,2020,A0197,P107,10
A,16/07/2020,2020,A0198,P104,7
A,17/07/2020,2020,A0199,P101,3
A,18/07/2020,2020,A0200,P103,3
A,19/07/2020,2020,A0201,P107,3
A,20/07/2020,2020,A0202,P103,10
A,21/07/2020,2020,A0203,P105,5
A,22/07/2020,2020,A0204,P107,3
A,23/07/2020,2020,A0205,P106,2
A,24/07/2020,2020,A0206,P101,3
A,25/07/2020,2020,A0207,P104,1
A,26/07/2020,2020,A0208,P103,7
A,27/07/2020,2020,A0209,P105,6
A,28/07/2020,2020,A0210,P100,2
A,29/07/2020,2020,A0211,P101,10
A,30/07/2020,2020,A0212,P105,9
A,31/07/2020,2020,A0213,P102,1
A,01/08/2020,2020,A0214,P103,6
A,02/08/2020,2020,A0215,P101,6
A,03/08/2020,2020,A0216,P107,6
A,04/08/2020,2020,A0217,P107,9
A,05/08/2020,2020,A0218,P105,5
A,06/08/2020,2020,A0219,P106,1
A,07/08/2020,2020,A0220,P102,8
A,08/08/2020,2020,A0221,P101,5
A,09/08/2020,2020,A0222,P106,4
A,10/08/2020,2020,A0223,P102,3
A,11/08/2020,2020,A0224,P103,3
A,12/08/2020,2020,A0225,P102,2
A,13/08/2020,2020,A0226,P107,2
A,14/08/2020,2020,A0227,P102,9
A,15/08/2020,2020,A0228,P105,3
A,16/08/2020,2020,A0229,P103,4
A,17/08/2020,2020,A0230,P103,5
A,18/08/2020,2020,A0231,P102,5
A,19/08/2020,2020,A0232,P101,3
A,20/08/2020,2020,A0233,P107,9
A,21/08/2020,2020,A0234,P107,6
A,22/08/2020,2020,A0235,P107,7
A,23/08/2020,2020,A0236,P101,5
A,24/08/2020,2020,A0237,P105,6
A,25/08/2020,2020,A0238,P105,2
A,26/08/2020,2020,A0239,P106,9
A,27/08/2020,2020,A0240,P106,4
A,28/08/2020,2020,A0241,P105,4
A,29/08/2020,2020,A0242,P106,7
A,30/08/2020,2020,A0243,P106,6
A,31/08/2020,2020,A0244,P106,7
A,01/09/2020,2020,A0245,P105,6
A,02/09/2020,2020,A0246,P101,1
A,03/09/2020,2020,A0247,P102,2
A,04/09/2020,2020,A0248,P103,7
A,05/09/2020,2020,A0249,P102,9
A,06/09/2020,2020,A0250,P107,8
A,07/09/2020,2020,A0251,P104,2
A,08/09/2020,2020,A0252,P103,6
A,09/09/2020,2020,A0253,P107,7
A,10/09/2020,2020,A0254,P100,10
A,11/09/2020,2020,A0255,P102,7
A,12/09/2020,2020,A0256,P107,3
A,13/09/2020,2020,A0257,P107,6
A,14/09/2020,2020,A0258,P103,2
A,15/09/2020,2020,A0259,P101,1
A,16/09/2020,2020,A0260,P107,6
A,17/09/2020,2020,A0261,P106,1
A,18/09/2020,2020,A0262,P100,10
A,19/09/2020,2020,A0263,P107,10
A,20/09/2020,2020,A0264,P102,6
A,21/09/2020,2020,A0265,P106,2
A,22/09/2020,2020,A0266,P105,8
A,23/09/2020,2020,A0267,P104,9
A,24/09/2020,2020,A0268,P100,9
A,25/09/2020,2020,A0269,P106,2
A,26/09/2020,2020,A0270,P106,1
A,27/09/2020,2020,A0271,P104,2
A,28/09/2020,2020,A0272,P104,10
A,29/09/2020,2020,A0273,P106,5
A,30/09/2020,2020,A0274,P106,2
A,01/10/2020,2020,A0275,P104,7
A,02/10/2020,2020,A0276,P101,6
A,03/10/2020,2020,A0277,P102,9
A,04/10/2020,2020,A0278,P107,1
A,05/10/2020,2020,A0279,P103,1
A,06/10/2020,2020,A0280,P102,3
A,07/10/2020,2020,A0281,P103,10
A,08/10/2020,2020,A0282,P100,4
A,09/10/2020,2020,A0283,P107,3
A,10/10/2020,2020,A0284,P101,5
A,11/10/2020,2020,A0285,P104,4
A,12/10/2020,2020,A0286,P102,2
A,13/10/2020,2020,A0287,P106,7
A,14/10/2020,2020,A0288,P104,2
A,15/10/2020,2020,A0289,P100,9
A,16/10/2020,2020,A0290,P103,10
A,17/10/2020,2020,A0291,P104,1
A,18/10/2020,2020,A0292,P100,5
A,19/10/2020,2020,A0293,P101,9
A,20/10/2020,2020,A0294,P100,2
A,21/10/2020,2020,A0295,P102,2
A,22/10/2020,2020,A0296,P100,8
A,23/10/2020,2020,A0297,P106,1
A,24/10/2020,2020,A0298,P101,4
A,25/10/2020,2020,A0299,P104,2
A,26/10/2020,2020,A0300,P102,10
A,27/10/2020,2020,A0301,P106,8
A,28/10/2020,2020,A0302,P105,9
A,29/10/2020,2020,A0303,P102,5
A,30/10/2020,2020,A0304,P103,4
A,31/10/2020,2020,A0305,P102,10
A,01/11/2020,2020,A0306,P105,5
A,02/11/2020,2020,A0307,P100,4
A,03/11/2020,2020,A0308,P104,1
A,04/11/2020,2020,A0309,P102,9
A,05/11/2020,2020,A0310,P104,9
A,06/11/2020,2020,A0311,P107,5
A,07/11/2020,2020,A0312,P107,8
A,08/11/2020,2020,A0313,P107,7
A,09/11/2020,2020,A0314,P105,1
A,10/11/2020,2020,A0315,P105,4
A,11/11/2020,2020,A0316,P107,10
A,12/11/2020,2020,A0317,P106,1
A,13/11/2020,2020,A0318,P103,10
A,14/11/2020,2020,A0319,P105,4
A,15/11/2020,2020,A0320,P101,7
A,16/11/2020,2020,A0321,P107,8
A,17/11/2020,2020,A0322,P102,7
A,18/11/2020,2020,A0323,P101,7
A,19/11/2020,2020,A0324,P106,9
A,20/11/2020,2020,A0325,P105,10
A,21/11/2020,2020,A0326,P100,5
A,22/11/2020,2020,A0327,P107,7
A,23/11/2020,2020,A0328,P106,10
A,24/11/2020,2020,A0329,P105,9
A,25/11/2020,2020,A0330,P102,2
A,26/11/2020,2020,A0331,P101,7
A,27/11/2020,2020,A0332,P102,7
A,28/11/2020,2020,A0333,P106,8
A,29/11/2020,2020,A0334,P107,6
A,30/11/2020,2020,A0335,P102,9
A,01/12/2020,2020,A0336,P103,8
A,02/12/2020,2020,A0337,P101,1
A,03/12/2020,2020,A0338,P107,10
A,04/12/2020,2020,A0339,P107,5
A,05/12/2020,2020,A0340,P102,7
A,06/12/2020,2020,A0341,P105,5
A,07/12/2020,2020,A0342,P102,3
A,08/12/2020,2020,A0343,P107,5
A,09/12/2020,2020,A0344,P104,2
A,10/12/2020,2020,A0345,P100,3
A,11/12/2020,2020,A0346,P107,10
A,12/12/2020,2020,A0347,P103,3
A,13/12/2020,2020,A0348,P104,3
A,14/12/2020,2020,A0349,P105,9
A,15/12/2020,2020,A0350,P107,5
A,16/12/2020,2020,A0351,P101,5
A,17/12/2020,2020,A0352,P100,5
A,18/12/2020,2020,A0353,P101,10
A,19/12/2020,2020,A0354,P100,5
A,20/12/2020,2020,A0355,P101,8
A,21/12/2020,2020,A0356,P101,9
A,22/12/2020,2020,A0357,P100,7
A,23/12/2020,2020,A0358,P104,2
A,24/12/2020,2020,A0359,P104,3
A,25/12/2020,2020,A0360,P103,1
A,26/12/2020,2020,A0361,P105,10
A,27/12/2020,2020,A0362,P101,8
A,28/12/2020,2020,A0363,P107,10
A,29/12/2020,2020,A0364,P102,4
A,30/12/2020,2020,A0365,P104,4
A,31/12/2020,2020,A0366,P102,5
A,01/01/2021,2021,A0367,P106,5
A,02/01/2021,2021,A0368,P106,5
A,03/01/2021,2021,A0369,P106,2
A,04/01/2021,2021,A0370,P107,9
A,05/01/2021,2021,A0371,P104,5
A,06/01/2021,2021,A0372,P100,2
A,07/01/2021,2021,A0373,P107,8
A,08/01/2021,2021,A0374,P105,2
A,09/01/2021,2021,A0375,P105,3
A,10/01/2021,2021,A0376,P103,2
A,11/01/2021,2021,A0377,P105,3
A,12/01/2021,2021,A0378,P107,5
A,13/01/2021,2021,A0379,P107,8
A,14/01/2021,2021,A0380,P102,9
A,15/01/2021,2021,A0381,P104,4
A,16/01/2021,2021,A0382,P104,5
A,17/01/2021,2021,A0383,P102,10
A,18/01/2021,2021,A0384,P107,9
A,19/01/2021,2021,A0385,P105,5
A,20/01/2021,2021,A0386,P103,1
A,21/01/2021,2021,A0387,P104,8
A,22/01/2021,2021,A0388,P103,10
A,23/01/2021,2021,A0389,P101,1
A,24/01/2021,2021,A0390,P102,2
A,25/01/2021,2021,A0391,P102,9
A,26/01/2021,2021,A0392,P100,8
A,27/01/2021,2021,A0393,P100,6
A,28/01/2021,2021,A0394,P105,3
A,29/01/2021,2021,A0395,P104,7
A,30/01/2021,2021,A0396,P105,8
A,31/01/2021,2021,A0397,P107,6
A,01/02/2021,2021,A0398,P100,5
A,02/02/2021,2021,A0399,P102,1
A,03/02/2021,2021,A0400,P107,10
A,04/02/2021,2021,A0401,P103,6
A,05/02/2021,2021,A0402,P105,2
A,06/02/2021,2021,A0403,P104,5
A,07/02/2021,2021,A0404,P106,5
A,08/02/2021,2021,A0405,P107,6
A,09/02/2021,2021,A0406,P107,1
A,10/02/2021,2021,A0407,P101,9
A,11/02/2021,2021,A0408,P103,6
A,12/02/2021,2021,A0409,P107,2
A,13/02/2021,2021,A0410,P104,9
A,14/02/2021,2021,A0411,P104,8
A,15/02/2021,2021,A0412,P101,1
A,16/02/2021,2021,A0413,P104,9
A,17/02/2021,2021,A0414,P105,10
A,18/02/2021,2021,A0415,P101,8
A,19/02/2021,2021,A0416,P105,8
A,20/02/2021,2021,A0417,P100,4
A,21/02/2021,2021,A0418,P100,7
A,22/02/2021,2021,A0419,P104,4
A,23/02/2021,2021,A0420,P105,6
A,24/02/2021,2021,A0421,P107,8
A,25/02/2021,2021,A0422,P104,10
A,26/02/2021,2021,A0423,P105,2
A,27/02/2021,2021,A0424,P107,1
A,28/02/2021,2021,A0425,P105,5
A,01/03/2021,2021,A0426,P104,1
A,02/03/2021,2021,A0427,P101,9
A,03/03/2021,2021,A0428,P103,3
A,04/03/2021,2021,A0429,P106,5
A,05/03/2021,2021,A0430,P105,4
A,06/03/2021,2021,A0431,P103,2
A,07/03/2021,2021,A0432,P106,9
A,08/03/2021,2021,A0433,P103,9
A,09/03/2021,2021,A0434,P100,5
A,10/03/2021,2021,A0435,P100,7
A,11/03/2021,2021,A0436,P104,9
A,12/03/2021,2021,A0437,P101,10
A,13/03/2021,2021,A0438,P105,1
A,14/03/2021,2021,A0439,P102,3
A,15/03/2021,2021,A0440,P105,5
A,16/03/2021,2021,A0441,P106,5
A,17/03/2021,2021,A0442,P105,3
A,18/03/2021,2021,A0443,P100,6
A,19/03/2021,2021,A0444,P104,10
A,20/03/2021,2021,A0445,P106,10
A,21/03/2021,2021,A0446,P103,3
A,22/03/2021,2021,A0447,P102,9
A,23/03/2021,2021,A0448,P104,6
A,24/03/2021,2021,A0449,P106,6
A,25/03/2021,2021,A0450,P104,2
A,26/03/2021,2021,A0451,P103,2
A,27/03/2021,2021,A0452,P107,6
A,28/03/2021,2021,A0453,P106,10
A,29/03/2021,2021,A0454,P107,4
A,30/03/2021,2021,A0455,P105,6
A,31/03/2021,2021,A0456,P100,8
A,01/04/2021,2021,A0457,P106,4
A,02/04/2021,2021,A0458,P101,8
A,03/04/2021,2021,A0459,P100,3
A,04/04/2021,2021,A0460,P106,4
A,05/04/2021,2021,A0461,P102,7
A,06/04/2021,2021,A0462,P103,2
A,07/04/2021,2021,A0463,P102,10
A,08/04/2021,2021,A0464,P106,2
A,09/04/2021,2021,A0465,P101,5
A,10/04/2021,2021,A0466,P102,10
A,11/04/2021,2021,A0467,P101,10
A,12/04/2021,2021,A0468,P101,3
A,13/04/2021,2021,A0469,P104,4
A,14/04/2021,2021,A0470,P101,7
A,15/04/2021,2021,A0471,P102,3
A,16/04/2021,2021,A0472,P107,7
A,17/04/2021,2021,A0473,P102,5
A,18/04/2021,2021,A0474,P104,1
A,19/04/2021,2021,A0475,P107,10
A,20/04/2021,2021,A0476,P106,5
A,21/04/2021,2021,A0477,P107,5
A,22/04/2021,2021,A0478,P101,8
A,23/04/2021,2021,A0479,P104,7
A,24/04/2021,2021,A0480,P106,3
A,25/04/2021,2021,A0481,P107,3
A,26/04/2021,2021,A0482,P101,9
A,27/04/2021,2021,A0483,P101,6
A,28/04/2021,2021,A0484,P102,4
A,29/04/2021,2021,A0485,P104,4
A,30/04/2021,2021,A0486,P104,8
A,01/05/2021,2021,A0487,P105,6
A,02/05/2021,2021,A0488,P104,3
A,03/05/2021,2021,A0489,P103,2
A,04/05/2021,2021,A0490,P101,4
A,05/05/2021,2021,A0491,P103,5
A,06/05/2021,2021,A0492,P104,8
A,07/05/2021,2021,A0493,P106,7
A,08/05/2021,2021,A0494,P102,1
A,09/05/2021,2021,A0495,P103,1
A,10/05/2021,2021,A0496,P106,3
A,11/05/2021,2021,A0497,P106,6
A,12/05/2021,2021,A0498,P107,10
A,13/05/2021,2021,A0499,P107,6
A,14/05/2021,2021,A0500,P100,9
A,15/05/2021,2021,A0501,P105,8
A,16/05/2021,2021,A0502,P105,1
A,17/05/2021,2021,A0503,P103,1
A,18/05/2021,2021,A0504,P106,5
A,19/05/2021,2021,A0505,P107,2
A,20/05/2021,2021,A0506,P102,5
A,21/05/2021,2021,A0507,P101,2
A,22/05/2021,2021,A0508,P107,3
A,23/05/2021,2021,A0509,P106,8
A,24/05/2021,2021,A0510,P103,6
A,25/05/2021,2021,A0511,P105,6
A,26/05/2021,2021,A0512,P104,5
A,27/05/2021,2021,A0513,P107,6
A,28/05/2021,2021,A0514,P100,7
A,29/05/2021,2021,A0515,P104,6
A,30/05/2021,2021,A0516,P101,3
A,31/05/2021,2021,A0517,P107,2
A,01/06/2021,2021,A0518,P106,2
A,02/06/2021,2021,A0519,P106,5
A,03/06/2021,2021,A0520,P102,4
A,04/06/2021,2021,A0521,P101,10
A,05/06/2021,2021,A0522,P104,4
A,06/06/2021,2021,A0523,P103,2
A,07/06/2021,2021,A0524,P103,2
A,08/06/2021,2021,A0525,P107,5
A,09/06/2021,2021,A0526,P107,2
A,10/06/2021,2021,A0527,P107,1
A,11/06/2021,2021,A0528,P104,4
A,12/06/2021,2021,A0529,P104,6
A,13/06/2021,2021,A0530,P102,6
A,14/06/2021,2021,A0531,P105,6
A,15/06/2021,2021,A0532,P100,2
A,16/06/2021,2021,A0533,P100,7
A,17/06/2021,2021,A0534,P104,2
A,18/06/2021,2021,A0535,P100,1
A,19/06/2021,2021,A0536,P106,10
A,20/06/2021,2021,A0537,P101,7
A,21/06/2021,2021,A0538,P107,2
A,22/06/2021,2021,A0539,P100,9
A,23/06/2021,2021,A0540,P100,5
A,24/06/2021,2021,A0541,P106,9
A,25/06/2021,2021,A0542,P101,1
A,26/06/2021,2021,A0543,P106,6
A,27/06/2021,2021,A0544,P102,2
A,28/06/2021,2021,A0545,P101,2
A,29/06/2021,2021,A0546,P103,3
A,30/06/2021,2021,A0547,P102,10
A,01/07/2021,2021,A0548,P102,10
A,02/07/2021,2021,A0549,P106,10
A,03/07/2021,2021,A0550,P101,2
A,04/07/2021,2021,A0551,P102,1
A,05/07/2021,2021,A0552,P100,2
A,06/07/2021,2021,A0553,P101,9
A,07/07/2021,2021,A0554,P103,6
A,08/07/2021,2021,A0555,P104,9
A,09/07/2021,2021,A0556,P102,5
A,10/07/2021,2021,A0557,P102,2
A,11/07/2021,2021,A0558,P107,9
A,12/07/2021,2021,A0559,P103,3
A,13/07/2021,2021,A0560,P101,9
A,14/07/2021,2021,A0561,P101,2
A,15/07/2021,2021,A0562,P101,6
A,16/07/2021,2021,A0563,P101,6
A,17/07/2021,2021,A0564,P107,6
A,18/07/2021,2021,A0565,P103,5
A,19/07/2021,2021,A0566,P102,5
A,20/07/2021,2021,A0567,P104,5
A,21/07/2021,2021,A0568,P101,8
A,22/07/2021,2021,A0569,P101,8
A,23/07/2021,2021,A0570,P101,5
A,24/07/2021,2021,A0571,P102,7
A,25/07/2021,2021,A0572,P100,9
A,26/07/2021,2021,A0573,P100,3
A,27/07/2021,2021,A0574,P104,8
A,28/07/2021,2021,A0575,P105,10
A,29/07/2021,2021,A0576,P103,4
A,30/07/2021,2021,A0577,P107,6
A,31/07/2021,2021,A0578,P101,6
A,01/08/2021,2021,A0579,P107,9
A,02/08/2021,2021,A0580,P101,9
A,03/08/2021,2021,A0581,P105,7
A,04/08/2021,2021,A0582,P100,5
A,05/08/2021,2021,A0583,P105,2
A,06/08/2021,2021,A0584,P105,1
A,07/08/2021,2021,A0585,P100,3
A,08/08/2021,2021,A0586,P106,5
A,09/08/2021,2021,A0587,P104,3
A,10/08/2021,2021,A0588,P103,6
A,11/08/2021,2021,A0589,P104,8
A,12/08/2021,2021,A0590,P100,6
A,13/08/2021,2021,A0591,P107,2
A,14/08/2021,2021,A0592,P101,7
A,15/08/2021,2021,A0593,P106,1
A,16/08/2021,2021,A0594,P101,7
A,17/08/2021,2021,A0595,P102,2
A,18/08/2021,2021,A0596,P106,5
A,19/08/2021,2021,A0597,P102,8
A,20/08/2021,2021,A0598,P103,5
A,21/08/2021,2021,A0599,P105,6
A,22/08/2021,2021,A0600,P107,9
A,23/08/2021,2021,A0601,P105,8
A,24/08/2021,2021,A0602,P105,10
A,25/08/2021,2021,A0603,P103,5
A,26/08/2021,2021,A0604,P100,8
A,27/08/2021,2021,A0605,P104,2
A,28/08/2021,2021,A0606,P103,5
A,29/08/2021,2021,A0607,P107,6
A,30/08/2021,2021,A0608,P103,10
A,31/08/2021,2021,A0609,P103,5
A,01/09/2021,2021,A0610,P103,9
A,02/09/2021,2021,A0611,P101,6
A,03/09/2021,2021,A0612,P103,7
A,04/09/2021,2021,A0613,P100,1
A,05/09/2021,2021,A0614,P102,3
A,06/09/2021,2021,A0615,P103,10
A,07/09/2021,2021,A0616,P107,6
A,08/09/2021,2021,A0617,P101,10
A,09/09/2021,2021,A0618,P100,3
A,10/09/2021,2021,A0619,P102,9
A,11/09/2021,2021,A0620,P100,10
A,12/09/2021,2021,A0621,P101,6
A,13/09/2021,2021,A0622,P101,8
A,14/09/2021,2021,A0623,P103,9
A,15/09/2021,2021,A0624,P101,8
A,16/09/2021,2021,A0625,P103,6
A,17/09/2021,2021,A0626,P102,5
A,18/09/2021,2021,A0627,P101,1
A,19/09/2021,2021,A0628,P102,10
A,20/09/2021,2021,A0629,P100,2
A,21/09/2021,2021,A0630,P107,3
A,22/09/2021,2021,A0631,P107,8
A,23/09/2021,2021,A0632,P105,4
A,24/09/2021,2021,A0633,P101,8
A,25/09/2021,2021,A0634,P102,1
A,26/09/2021,2021,A0635,P103,4
A,27/09/2021,2021,A0636,P106,4
A,28/09/2021,2021,A0637,P106,9
A,29/09/2021,2021,A0638,P106,7
A,30/09/2021,2021,A0639,P100,6
A,01/10/2021,2021,A0640,P100,9
A,02/10/2021,2021,A0641,P104,8
A,03/10/2021,2021,A0642,P106,3
A,04/10/2021,2021,A0643,P100,3
A,05/10/2021,2021,A0644,P106,1
A,06/10/2021,2021,A0645,P103,5
A,07/10/2021,2021,A0646,P105,4
A,08/10/2021,2021,A0647,P104,8
A,09/10/2021,2021,A0648,P106,10
A,10/10/2021,2021,A0649,P106,3
A,11/10/2021,2021,A0650,P101,1
A,12/10/2021,2021,A0651,P100,6
A,13/10/2021,2021,A0652,P100,2
A,14/10/2021,2021,A0653,P103,5
A,15/10/2021,2021,A0654,P101,2
A,16/10/2021,2021,A0655,P100,7
A,17/10/2021,2021,A0656,P107,10
A,18/10/2021,2021,A0657,P107,7
A,19/10/2021,2021,A0658,P102,7
A,20/10/2021,2021,A0659,P106,7
A,21/10/2021,2021,A0660,P106,7
A,22/10/2021,2021,A0661,P100,9
A,23/10/2021,2021,A0662,P105,4
A,24/10/2021,2021,A0663,P103,10
A,25/10/2021,2021,A0664,P105,6
